Applicant_ID,Credit_Score,Late_Payments,Months_In_Job,Debt_Income_Ratio,Loan_Amt,Liquid_Assets,Num_Credit_Lines,Credit_Risk
699310,621,7,35,4.613,214026,7958,4,Moderate
678762,559,8,16,3.027,80669,4274,3,Moderate
480514,471,12,20,6.869,64838,1432,7,High
421770,626,3,9,4.349,131348,5944,3,Moderate
565114,607,2,19,3.824,247755,6917,5,Moderate
425086,525,3,5,4.824,59432,4205,4,Moderate
174656,499,11,4,7.992,271478,2491,6,High
769219,709,1,48,1.14,325506,12599,3,Low
782155,773,0,13,2.37,318272,11916,4,Low
246756,676,2,46,2.39,94943,9552,5,Low
949604,587,8,40,4.189,65760,1341,7,Moderate
430942,509,9,14,5.506,190294,1950,8,High
177541,671,1,28,2.81,61303,9244,3,Low
210515,576,5,31,4.651,272962,6623,6,Moderate
149507,545,4,41,4.625,270679,7357,8,Moderate
596877,627,7,28,2.106,53010,3560,6,Moderate
216593,537,5,15,2.762,49873,1858,4,Moderate
187712,463,7,11,9.555,164615,2961,10,High
604671,429,7,18,5.667,115498,3511,9,High
944958,423,14,12,9.14,131641,3023,6,High
821411,492,9,23,8.324,206872,4389,4,High
741068,492,15,18,3.405,225555,1538,10,High
315100,722,1,47,2.17,349510,9667,4,Low
451482,825,0,16,1.5,81163,24028,3,Very Low
217837,548,6,7,3.508,176080,7289,7,Moderate
277906,675,2,28,1.13,264107,9331,2,Low
615007,560,8,31,3.411,286322,3214,8,Moderate
312941,710,0,25,2.53,285461,6630,4,Low
737982,533,6,40,4.613,79452,4995,3,Moderate
212668,534,8,25,4.623,186290,3237,6,Moderate
235013,757,0,12,1.64,175106,9209,4,Low
633475,613,6,41,3.5,228977,1844,7,Moderate
952395,766,1,39,2.46,49720,17078,4,Low
921267,473,10,16,9.213,48162,3158,6,High
942097,473,9,16,8.276,62018,3458,4,High
888858,809,1,46,0.79,386323,21081,1,Very Low
938882,579,5,14,4.453,274288,6218,9,Moderate
582014,781,3,43,1.6,279568,11627,2,Low
731130,717,1,34,1.42,267454,8964,3,Low
696448,788,1,29,1.06,389270,7760,3,Very Low
589379,557,4,29,3.059,258205,4519,6,Moderate
515964,576,8,36,4.212,140119,7733,3,Moderate
319077,723,2,38,1.57,247508,4151,5,Low
652679,549,7,16,5.317,270765,4977,10,High
760445,548,13,14,6.687,103001,1551,5,High
685223,560,5,35,4.727,256328,3747,3,Moderate
264830,616,4,39,4.257,227911,7191,4,Moderate
255930,773,0,99,1.04,222029,12882,2,Very Low
704161,559,4,19,4.16,248797,1493,8,Moderate
456046,773,2,6,2.89,94123,12694,1,Low
401419,702,0,48,2.25,351123,17597,4,Low
180735,709,0,27,2.44,317194,18929,2,Low
315394,752,2,54,2.95,137360,14526,5,Low
151879,550,5,28,9.709,117962,5032,10,High
827168,699,1,29,1.28,153870,17791,2,Low
831469,479,5,25,3.716,214673,2128,7,High
745837,700,2,56,2.75,127087,19140,5,Low
297447,492,15,7,9.903,282756,5138,4,High
626433,809,1,93,1.24,445029,12233,1,Very Low
548353,564,5,36,2.325,196800,4955,6,Moderate
286637,477,8,15,4.7,94820,2132,4,High
831379,612,5,26,3.3,132354,6783,8,Moderate
361015,593,2,35,4.748,244363,7760,5,Moderate
746477,472,8,23,4.409,208077,1829,10,High
518966,537,13,25,8.139,47860,3637,4,High
287347,591,5,40,2.042,156965,4558,9,Moderate
544841,487,15,20,5.236,210261,4289,4,High
529140,760,0,28,1.83,291690,15093,1,Low
208939,438,13,3,7.071,283267,2359,7,High
878101,630,3,32,2.939,261973,8713,6,Moderate
631047,771,2,54,1.27,276574,4404,2,Low
797464,671,3,25,2.47,348643,16667,3,Low
794180,521,13,10,7.908,257925,1365,10,High
487651,671,2,44,1.41,336859,7742,3,Low
832624,573,3,30,4.933,267221,4004,6,Moderate
435814,478,9,23,7.297,245886,3268,10,High
140423,612,5,39,4.26,287451,4060,4,Moderate
241568,554,8,9,4.703,204222,4879,4,Moderate
557227,707,3,39,2,179110,5960,1,Low
742424,671,3,7,1.27,167127,10014,5,Low
470764,798,0,78,1.45,131228,12680,2,Very Low
465252,678,1,9,2.38,207430,11076,2,Low
228092,534,6,30,3.776,120224,2700,3,Moderate
964739,494,5,17,4.511,223680,1388,9,High
914077,771,1,25,2.6,173953,18561,3,Low
670924,476,10,19,6.859,140387,3502,10,High
237822,748,1,12,1.93,67737,4014,4,Low
424372,521,16,9,9.366,268544,1510,7,High
156876,735,1,43,1.25,64314,3957,1,Low
241623,478,6,16,4.219,160969,2986,10,High
586062,431,10,11,9.367,106131,2951,8,High
248112,706,1,48,2.01,93369,11260,4,Low
739286,755,3,14,1.19,238596,7849,1,Low
287121,520,7,21,3.332,303874,7171,5,Moderate
757100,439,14,14,9.455,197471,2406,6,High
762762,741,2,44,2.09,323602,4643,3,Low
934182,595,8,4,4.81,311518,7946,9,Moderate
504859,486,15,6,6.132,154456,5084,9,High
304416,534,6,27,5.719,124739,4748,9,High
416255,551,7,27,2.522,129032,6435,4,Moderate
543590,481,14,15,6.053,276931,1342,10,High
613766,760,1,46,1.11,126194,16253,2,Low
322744,772,1,35,2.77,317103,11092,2,Low
680499,749,1,56,1.67,308590,16686,4,Low
451375,439,9,14,4.434,167413,4660,9,High
399995,599,7,8,4.332,184874,1924,8,Moderate
455504,807,1,70,0.42,66692,12585,1,Very Low
762365,527,8,33,3.685,67274,6008,7,Moderate
838300,545,2,23,3.402,247970,7502,4,Moderate
621581,434,10,10,4.17,270639,3932,10,High
499568,760,0,56,2.03,170657,17527,3,Low
146039,530,11,3,4.363,101303,2371,6,High
710972,771,2,17,2.41,208355,18891,3,Low
674123,607,2,24,3.926,241584,5341,8,Moderate
601451,718,0,62,1.22,153830,10408,5,Low
877470,485,8,22,9.118,158802,1906,6,High
158727,745,0,25,2.28,317977,15975,3,Low
352229,750,0,56,2.34,68148,15729,3,Low
704685,782,0,83,1.12,364455,15508,1,Very Low
927063,522,16,20,7.972,110613,4242,8,High
700227,630,8,38,3.169,117910,5764,6,Moderate
162374,762,3,12,2.62,260399,8690,5,Low
603495,728,0,15,1.83,317973,12215,1,Low
665542,692,2,50,1.2,338987,8893,5,Low
531944,470,9,19,9.041,93498,4681,8,High
475497,819,0,68,0.92,172782,22064,2,Very Low
622648,724,2,54,1.94,53028,11301,1,Low
613881,620,2,32,3.144,127966,5092,4,Moderate
201866,796,0,27,1.94,168983,20559,4,Very Low
311588,729,2,51,2.16,294871,12204,3,Low
423522,622,2,29,4.484,291259,2598,9,Moderate
554056,673,1,25,2.67,128328,10641,3,Low
471891,603,3,22,4.842,139347,8244,5,Moderate
392571,767,0,62,1.56,312836,7258,3,Low
202084,670,3,38,2.56,276820,14922,2,Low
870307,402,11,13,9.347,250890,2091,12,DO NOT LEND
760820,543,15,16,8.706,121764,4203,4,High
866935,703,2,6,2.6,247186,9929,2,Low
920969,566,5,6,2.327,301116,2743,4,Moderate
929898,716,1,41,1.65,163406,10014,1,Low
440537,763,1,10,1.7,260314,5637,2,Low
285693,546,3,24,4.936,157787,1009,9,Moderate
476254,682,1,41,1.74,177327,14610,5,Low
605243,487,8,8,5.189,101558,1235,9,High
245214,741,3,31,1.07,60068,15223,2,Low
716626,622,7,41,4.433,310416,8302,5,Moderate
822868,521,2,17,2.761,303413,7224,7,Moderate
782435,712,3,10,2.69,252304,11275,3,Low
772617,427,11,11,3.823,249348,3922,10,High
668885,491,13,16,6.373,279871,920,5,High
596780,549,3,6,3.361,76081,1278,9,Moderate
574890,520,9,22,6.014,123842,4412,5,High
823756,432,23,13,10.998,64297,1312,11,DO NOT LEND
235419,766,2,54,1.14,231687,15678,1,Low
682752,426,11,15,7.211,134895,1081,5,High
177775,439,8,29,5.406,209753,2312,4,High
790078,618,2,18,4.33,296983,5045,9,Moderate
450519,553,2,8,3.722,210935,3312,7,Moderate
498235,694,0,57,1.19,214660,10745,2,Low
462876,756,2,54,1.8,199199,15987,2,Low
254522,457,14,25,8.121,61037,1953,5,High
315581,472,7,20,6.068,271831,2749,7,High
486138,441,15,10,7.934,121576,2587,8,High
179243,500,4,24,7.688,168061,4799,9,High
560954,688,3,35,1.01,125130,12038,4,Low
853302,770,1,59,2.58,64264,16909,4,Low
479365,752,2,43,1.18,192153,5893,6,Low
898829,738,3,7,1.42,212418,4805,2,Low
172051,567,2,4,2.609,116726,2758,9,Moderate
864185,482,15,21,3.151,189477,4384,10,High
735626,767,1,78,1.82,263316,21061,1,Very Low
912914,553,5,7,4.053,142402,5167,9,Moderate
852056,536,6,26,3.813,131852,8239,9,Moderate
463827,684,2,25,2.14,241830,17824,1,Low
220273,768,1,79,0.64,174961,17113,3,Very Low
242209,671,0,13,1.28,215663,18111,2,Low
507400,560,4,7,3.058,81165,1626,3,Moderate
499683,512,8,9,6.979,204776,1673,4,High
313870,512,9,9,6.813,89451,1266,6,High
448709,485,14,2,6.243,83433,5069,4,High
461456,526,3,17,2.81,115779,5807,3,Moderate
359562,712,3,33,1.62,109225,6489,2,Low
313571,756,0,30,1.62,140594,6772,2,Low
268337,677,2,23,2.43,348895,10260,5,Low
854043,774,0,75,0.1,118053,13149,4,Very Low
968749,788,0,26,1.31,238134,14136,2,Very Low
407213,468,6,17,8.853,278743,2642,6,High
417238,751,2,39,2.59,113702,10475,5,Low
810415,458,4,29,8.05,81298,1602,8,High
758931,541,5,12,4.785,160434,8487,6,Moderate
361100,503,5,15,5.72,267317,940,10,High
502478,590,6,14,2.191,202468,1034,7,Moderate
971486,704,1,57,1.27,254365,12412,5,Low
919853,699,1,30,2.96,349887,10183,5,Low
706976,721,0,14,2.93,233349,9892,4,Low
157233,801,0,82,1.8,133105,17817,4,Very Low
468139,773,2,51,1.2,292269,9876,5,Low
663502,728,2,55,1.62,343533,6822,5,Low
237452,774,1,79,0.11,178960,6991,3,Very Low
755048,522,16,6,6.318,203288,3112,4,High
408364,622,4,26,2.458,258875,8266,9,Moderate
163241,536,10,15,6.583,175103,4815,7,High
279687,509,5,2,6.789,179289,2765,9,High
947378,586,7,18,3.201,72356,2519,9,Moderate
561004,517,4,14,3.666,261176,5004,4,High
970936,698,2,43,2.28,242215,17657,3,Low
597325,794,0,35,1.18,140682,19011,2,Very Low
298328,540,10,21,9.175,199007,3622,6,High
506922,596,8,10,4.622,284302,3517,9,Moderate
330557,758,1,50,2.02,278018,18615,3,Low
688832,766,2,44,2.45,216939,17656,4,Low
792612,693,3,37,2.15,87910,8926,1,Low
970134,593,6,15,2.457,301503,5795,4,Moderate
173910,554,5,13,2.183,261127,1710,9,Moderate
656265,690,1,7,1.5,236746,16146,5,Low
738876,739,3,46,1.68,184064,17574,4,Low
505595,778,0,50,0.05,336103,13826,3,Very Low
488327,683,3,30,2.62,207246,15783,4,Low
285471,594,7,30,2.378,289682,5547,3,Moderate
271978,570,3,34,3.851,245962,3822,4,Moderate
843436,431,10,3,6.473,223697,2371,10,High
727841,441,5,27,6.68,284455,4308,7,High
738096,826,0,74,1.03,107642,12804,3,Very Low
931184,816,1,18,0.86,373352,14085,1,Very Low
737245,726,2,43,1.02,115732,8330,4,Low
785682,502,7,22,4.08,188486,2885,5,High
798327,754,0,35,2.72,195726,6352,2,Low
519190,676,0,20,1.92,88081,18917,3,Low
498233,773,3,18,1.73,293945,14996,5,Low
405694,506,11,20,8.447,187715,3142,7,High
464940,513,4,21,3.407,42991,1609,5,High
139993,512,5,21,7.826,251884,2380,9,High
744027,475,7,3,5.196,227231,2225,8,High
795072,581,7,8,3.978,266771,2832,8,Moderate
502427,543,3,7,4.662,155971,6166,3,Moderate
513628,532,2,5,4.436,91226,7324,5,Moderate
359284,727,2,34,1.23,211391,10252,5,Low
794553,740,2,24,1.51,132054,16316,3,Low
361625,547,5,33,3.166,80563,6325,3,Moderate
331802,682,2,55,1.85,70604,9712,5,Low
544118,530,13,7,9.821,112701,4606,9,High
395222,772,3,42,1.1,73010,16805,2,Low
316223,560,6,41,2.796,218790,2156,8,Moderate
477307,693,1,42,1.33,271364,5227,3,Low
654284,615,8,8,4.874,274388,3763,4,Moderate
737104,732,1,28,1.27,113648,14541,3,Low
906636,483,9,13,5.783,92924,4384,6,High
874068,454,12,19,4.305,193397,4699,10,High
311554,700,0,60,2.6,164463,5577,5,Low
849394,522,12,12,6.876,72713,2307,9,High
748305,674,1,50,1.52,350939,17950,5,Low
328291,548,6,35,2.73,187808,6747,6,Moderate
174110,817,1,46,1.71,348276,12054,2,Very Low
409993,539,5,41,2.893,148320,5031,6,Moderate
914953,548,8,39,3.3,122049,1823,9,Moderate
347916,432,6,7,8.944,109148,3122,9,High
483483,551,6,5,2.312,209073,3486,6,Moderate
903402,686,1,34,2.78,345357,18800,4,Low
274132,810,1,52,1.96,265888,8692,4,Very Low
494804,725,3,54,1.8,62865,17399,2,Low
186527,588,7,19,4.469,144514,7509,9,Moderate
550294,442,10,13,7.633,208684,1645,7,High
730504,735,0,56,2,114901,15233,4,Low
294027,681,2,48,2.58,187023,8173,2,Low
858956,769,0,60,2.54,114880,12356,3,Low
511967,797,0,22,0.85,359406,22954,1,Very Low
543946,464,8,13,3.024,237216,4823,5,High
172241,487,13,25,8.515,232581,4315,5,High
883006,787,1,45,1.95,176920,9559,2,Very Low
870977,496,10,27,3.795,39236,1353,5,High
370496,664,3,5,2.87,308308,12129,4,Low
490735,798,0,77,1.53,361644,20424,2,Very Low
730048,576,6,20,3.038,170500,2732,8,Moderate
684258,706,2,29,2.42,241875,7617,4,Low
884076,577,6,34,3.557,79548,5693,8,Moderate
980774,605,8,19,3.472,153467,7095,4,Moderate
600997,558,4,25,2.781,191885,1191,3,Moderate
425521,621,6,18,3.007,260359,2130,7,Moderate
341267,479,15,4,8.974,164263,3066,8,High
732208,438,15,28,9.456,194478,2145,9,High
244300,550,16,7,4.049,264073,3532,7,High
439973,668,3,14,2.89,154560,16723,4,Low
822009,759,3,21,2.03,96956,19578,4,Low
909137,447,16,25,8.821,99467,5086,8,High
234452,582,4,5,3.369,42772,3761,7,Moderate
476792,549,9,16,8.127,222186,4515,6,High
291724,495,16,4,3.943,240043,2600,9,High
886960,723,0,42,2.83,326814,17371,5,Low
615295,547,6,40,3.23,219291,7134,3,Moderate
337419,524,11,24,7.574,109175,1248,4,High
530279,736,1,42,1.62,66014,4068,5,Low
966016,769,0,83,1.8,438846,15562,1,Very Low
227439,758,1,53,2.35,160236,5593,4,Low
200331,774,1,53,1.38,110390,14894,3,Low
451133,593,2,24,3.41,177649,4612,8,Moderate
720303,754,0,42,1.11,172217,4620,5,Low
529130,693,1,8,1.71,212328,5540,4,Low
297396,771,2,77,1.61,130373,11241,2,Very Low
241610,625,6,16,2.941,285741,3241,3,Moderate
613677,699,1,24,2.52,128432,18064,6,Low
459279,775,0,56,0.09,357952,15302,1,Very Low
520326,787,0,97,0.31,110362,8768,1,Very Low
849838,479,7,13,5.414,53283,1130,4,High
493999,544,6,35,3.466,70793,3733,6,Moderate
705734,436,5,8,7.647,147456,2806,6,High
368836,684,1,46,2.24,308199,15049,5,Low
231314,695,0,17,1.26,235586,10166,2,Low
199142,534,10,22,6.597,73650,3294,9,High
670394,529,9,21,4.771,86060,1059,9,High
972616,497,7,21,5.742,193728,1965,9,High
921827,431,16,9,6.013,241687,4159,8,High
675526,743,1,12,1.4,352498,5451,2,Low
776292,676,2,11,2.03,228994,10254,5,Low
966887,586,3,16,4.798,84094,6000,4,Moderate
403269,433,4,11,9.552,72594,1942,4,High
237870,768,2,13,1.62,343105,6548,3,Low
410754,534,2,30,2.92,118130,3371,7,Moderate
928974,494,4,20,3.424,172002,3705,9,High
374258,539,14,9,6.566,162287,4267,7,High
668185,528,7,13,3.513,169041,1859,4,Moderate
708902,453,13,24,4.015,201828,2533,4,High
755731,785,0,73,0.57,91986,19609,1,Very Low
167828,536,7,5,2.583,178001,7436,8,Moderate
783664,667,2,10,1.38,109942,16327,3,Low
279717,446,18,13,12.523,241613,834,9,DO NOT LEND
487458,759,0,14,1.78,102858,13530,3,Low
767318,453,6,13,9.234,98795,4133,6,High
873782,753,3,38,2.07,85546,18781,5,Low
344576,490,9,17,3.123,172582,1899,7,High
656381,509,16,19,5.872,99473,3578,5,High
718635,461,5,9,3.529,222603,4525,10,High
496659,583,6,21,4.768,219447,2495,8,Moderate
678678,476,13,18,4.551,170759,4625,7,High
247588,517,8,23,9.841,165603,1905,6,High
597657,533,5,41,3.878,87534,2104,5,Moderate
546323,788,1,35,0.13,184968,7626,4,Very Low
177218,543,6,9,5.706,188176,4289,6,High
913903,805,1,41,1.19,162582,20650,1,Very Low
872711,718,1,58,1.24,262447,5388,3,Low
697504,708,3,28,1.47,153856,5305,3,Low
704947,799,0,81,0.33,378202,16453,2,Very Low
697842,716,2,36,2.81,103612,4759,4,Low
346736,549,16,13,5.191,42858,1409,6,High
821311,510,14,2,9.426,86376,2661,6,High
815141,610,6,18,4.788,248141,4733,6,Moderate
161285,526,2,31,3.798,121570,3206,3,Moderate
913607,479,15,20,9.846,117115,1405,10,High
211344,696,2,33,2.52,260366,19478,2,Low
415887,498,9,27,5.467,279398,2751,4,High
569147,542,5,19,9.636,227790,1994,5,High
490949,710,2,53,2.7,240064,12243,4,Low
722171,729,0,15,2.08,84480,3964,2,Low
592556,625,4,31,4.233,46303,1987,8,Moderate
822125,721,2,16,2.13,72299,7663,4,Low
164745,410,14,11,10.467,212010,2150,8,DO NOT LEND
971895,665,0,27,2.35,70458,13584,2,Low
258358,744,0,18,2.24,148477,18353,5,Low
964857,491,13,17,7.222,91856,2509,9,High
884447,533,5,29,2.972,146648,4654,3,Moderate
198340,536,6,34,2.674,248896,2390,8,Moderate
491097,525,4,6,4.103,91641,1810,9,High
770244,807,0,56,1.8,325970,16501,3,Very Low
264391,454,13,3,5.024,49825,4608,10,High
517086,689,1,41,1.75,316129,10948,3,Low
376062,448,21,11,10.394,169091,3000,9,DO NOT LEND
880033,666,1,27,1.84,63133,15798,4,Low
170828,688,1,31,2.46,257882,7819,4,Low
575106,534,3,27,4.993,218543,1588,6,Moderate
948784,700,0,32,1.42,187110,14676,3,Low
173661,799,1,45,0.67,157669,6991,2,Very Low
964012,531,7,20,7.144,55276,2327,6,High
465850,767,2,22,1.23,238269,8914,4,Low
507389,765,0,17,1.44,203138,10590,3,Very Low
893854,742,0,36,2.71,311774,5720,2,Low
141228,554,7,28,3.342,127610,3726,9,Moderate
401256,553,7,9,4.295,180686,4527,8,Moderate
716735,490,4,24,8.722,266693,2105,9,High
393239,429,16,4,7.409,182142,1390,6,High
790786,438,11,29,5.288,79384,3200,9,High
161264,703,0,31,2.62,99313,4828,3,Low
263975,540,3,11,3.904,190189,2724,9,Moderate
869980,561,2,23,3.546,116915,7921,7,Moderate
936089,727,3,34,2.63,113737,16521,3,Low
643989,826,1,71,0.38,174460,16840,3,Very Low
239201,475,10,16,6.637,98713,3782,5,High
890374,808,0,64,0.47,228850,19462,2,Very Low
202742,743,1,39,1.88,286860,7961,4,Low
778799,789,0,87,0.2,142608,15131,1,Very Low
297265,734,2,16,2.4,64645,19635,2,Low
902915,691,2,23,1.3,72533,19507,5,Low
643207,747,3,48,2.64,187887,19246,3,Low
268968,569,7,18,3.939,289243,3123,5,Moderate
294441,596,3,40,4.772,91718,2869,7,Moderate
742050,558,8,40,2.6,57993,1999,6,Moderate
344617,438,12,19,6.732,256037,4557,9,High
155002,581,6,12,3.904,272839,8712,8,Moderate
834401,493,14,8,9.17,73677,2962,10,High
671293,515,14,29,7.004,115870,949,9,High
484055,708,0,10,2.81,245322,18248,2,Low
776445,498,7,27,8.606,279033,3208,10,High
235130,598,5,23,4.567,174830,5029,3,Moderate
424952,664,3,40,2.44,91768,15521,5,Low
778919,600,8,21,3.783,77110,6061,3,Moderate
662758,623,6,4,2.647,155754,5228,6,Moderate
750710,453,9,9,3.396,186707,4399,9,High
725227,765,2,35,1.85,245969,8646,1,Very Low
612800,680,3,20,3,343217,16926,2,Low
226653,517,5,12,5.104,178859,1075,8,High
158193,679,0,15,2.97,174222,5242,5,Low
362592,764,1,39,2.75,127114,16389,4,Low
412710,780,1,11,0.78,290524,6679,3,Very Low
902091,721,3,49,1.96,234565,8017,6,Low
655075,770,2,47,1.13,173343,13558,5,Low
792076,549,4,18,3.992,124087,1732,8,High
251614,570,3,19,4.102,106331,6315,9,Moderate
306743,596,8,31,2.893,169161,1976,7,Moderate
841217,775,3,52,2.7,151191,10204,4,Low
279027,529,12,16,7.141,170310,1803,4,High
628607,494,10,15,6.561,115665,2298,8,High
600301,787,1,46,0.87,280039,7465,1,Very Low
514036,729,2,14,1.11,194612,7234,5,Low
237315,519,4,20,4.913,282014,3280,8,Moderate
560311,425,9,5,8.375,102104,3789,10,High
271525,495,6,7,5.488,119132,1334,9,High
886946,527,6,21,4.908,131439,4591,3,Moderate
627129,488,9,3,9.802,252469,1565,9,High
531145,430,5,14,4.715,257172,1148,8,High
358074,718,0,49,1.53,227362,17246,4,Low
330590,801,0,82,0.47,97140,24297,3,Very Low
354772,472,12,4,7.619,226802,5114,8,High
209528,707,2,57,2.38,312046,18318,4,Low
360509,451,6,14,7.824,60015,4903,6,High
879816,432,8,20,3.983,199358,3571,10,High
630816,499,13,29,9.967,232279,2461,6,High
167934,766,2,43,2.59,60121,14546,5,Low
200113,610,7,28,3.241,193243,7606,5,Moderate
267767,544,3,28,4.99,313035,5206,5,Moderate
364300,762,2,51,2.13,162600,5558,4,Low
937005,818,0,82,0.95,229614,20049,2,Very Low
724968,669,0,49,2.1,232103,10332,4,Low
876969,577,7,38,3.281,121145,2500,8,Moderate
798022,722,1,33,1.65,354171,13028,4,Low
881936,549,11,17,6.441,174531,2146,7,High
413656,538,4,22,4.712,258983,3553,6,High
847162,751,2,47,1.86,170818,16543,3,Low
812436,780,1,13,1.37,196103,11777,5,Low
260138,577,3,19,2.449,144391,6922,9,Moderate
831665,470,13,18,8.778,140815,3442,8,High
570152,515,5,28,6.35,86371,1270,6,High
224740,521,6,14,2.867,250287,5170,5,Moderate
326366,756,3,44,2.66,112313,4527,3,Low
500109,787,0,35,1.85,420063,10041,2,Very Low
556640,576,3,39,3.886,194958,2067,3,Moderate
249739,752,2,13,2.12,258185,9011,6,Low
154052,813,0,40,0.16,272479,15886,3,Very Low
880512,772,1,52,1,116913,13070,5,Low
320733,503,7,22,4.658,238028,2014,5,High
269468,514,4,14,6.71,187755,4680,8,High
432625,767,1,28,1.98,449485,19286,4,Very Low
343963,551,7,6,3.842,223511,8701,9,Moderate
937407,473,13,18,3.259,224756,3655,4,High
236951,536,9,19,3.246,138270,2302,9,High
730535,674,1,14,1.48,146232,16947,5,Low
857247,547,3,29,2.903,242815,7236,3,Moderate
835714,454,7,3,7.383,213331,2057,7,High
802637,603,8,27,4.202,57326,6617,3,Moderate
452873,767,1,56,1.6,51675,6266,4,Low
266631,711,3,32,1.18,128323,10617,3,Low
341449,452,6,10,6.556,111915,1267,6,High
248509,563,3,14,2.385,254044,7578,8,Moderate
944673,434,10,18,4.472,78674,1792,9,High
941763,546,14,12,4.248,285099,4335,8,High
423814,477,14,2,8.439,161251,1155,6,High
552473,766,0,71,0.7,403048,20846,2,Very Low
359307,690,1,8,1.08,189967,15856,5,Low
299396,694,3,19,2.72,178873,19861,3,Low
852951,814,0,38,1.67,52900,14271,2,Very Low
518825,697,0,12,2.71,195702,5846,4,Low
427879,678,3,26,1.07,252558,8919,2,Low
516466,729,0,16,1.87,79548,12237,2,Low
